sampleId,geneSymbol,expressionLevel
USA011-107_Pre_Tumor,PI-9(SERPINB9),5.831007
USA011-107_Pre_Tumor,SIRPA,1.238804
USA011-107_Pre_Tumor,CEBPB,1.907904
USA011-107_Pre_Tumor,VTCN1,-2.431858
USA011-107_Pre_Tumor,SGK1,1.209893
USA011-107_Pre_Tumor,NLRC5,-0.115771
USA011-107_Pre_Tumor,CCL8,0.547842
USA011-107_Pre_Tumor,TRAF1,1.024872
USA011-107_Pre_Tumor,ADAM12,0.783921
USA011-107_Pre_Tumor,MMRN2,-2.228815
USA011-107_Pre_Tumor,PTGS2,-4.622503
USA011-107_Pre_Tumor,SMAD5,-1.429951
USA011-107_Pre_Tumor,CEACAM5,0.042775
USA011-107_Pre_Tumor,LCK,-0.442767
USA011-107_Pre_Tumor,ITGB3,-3.810547
USA011-107_Pre_Tumor,FCGR2B,-2.706598
USA011-107_Pre_Tumor,NRAS,1.104402
USA011-107_Pre_Tumor,IL34,-2.627067
USA011-107_Pre_Tumor,LAMA1,-4.954888
USA011-107_Pre_Tumor,CLEC4E,-3.676133
USA011-107_Pre_Tumor,IL18R1,-0.552254
USA011-107_Pre_Tumor,MFNG,0.122098
USA011-107_Pre_Tumor,TTC30A,-3.598427
USA011-107_Pre_Tumor,TNFRSF10C,-1.909985
